age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
2168,40,services,married,secondary,0,1836,1,0,cellular,12,may,750,2,-1,0,unknown,1
2176,28,blue-collar,single,secondary,0,-46,1,0,cellular,1,sep,199,1,92,14,success,1
2182,43,entrepreneur,married,secondary,0,104,1,0,cellular,18,jul,635,3,-1,0,unknown,1
2195,23,entrepreneur,single,primary,0,4,1,0,unknown,13,may,395,2,-1,0,unknown,1
2202,29,management,married,tertiary,0,199,1,1,unknown,7,may,1689,4,-1,0,unknown,1
2212,34,management,married,tertiary,0,3301,1,0,cellular,17,jun,485,2,227,4,failure,1
2213,24,student,single,secondary,0,822,0,0,cellular,27,oct,184,1,91,2,failure,1
2219,44,technician,married,secondary,0,2776,1,0,cellular,27,jan,701,1,-1,0,unknown,1
2220,33,blue-collar,married,secondary,0,139,1,1,cellular,18,may,732,2,291,5,failure,1
2233,24,services,married,secondary,0,4500,1,0,cellular,11,may,733,2,-1,0,unknown,1
2251,37,management,married,tertiary,0,238,0,0,cellular,3,feb,185,1,92,1,success,1
2259,41,management,married,tertiary,0,326,1,0,cellular,5,may,788,1,-1,0,unknown,1
2274,35,admin.,single,secondary,0,0,1,0,cellular,13,may,1073,1,-1,0,unknown,1
2296,32,blue-collar,married,secondary,0,1905,1,0,cellular,16,jul,709,2,-1,0,unknown,1
2321,27,services,single,secondary,0,54,1,0,unknown,28,may,543,2,-1,0,unknown,1
2332,30,management,married,tertiary,0,102,1,0,cellular,5,apr,470,7,426,3,other,1
2370,37,technician,single,secondary,0,-242,1,0,cellular,13,aug,1149,6,-1,0,unknown,1
2372,43,services,single,secondary,0,3403,1,0,cellular,12,nov,707,2,97,2,success,1
2375,26,unemployed,single,secondary,0,622,0,0,cellular,28,jan,1451,2,-1,0,unknown,1
2376,35,services,married,secondary,0,152,1,0,unknown,2,jun,563,1,-1,0,unknown,1
2419,41,blue-collar,single,secondary,1,-386,0,1,cellular,20,nov,477,1,-1,0,unknown,1
2421,44,management,single,tertiary,0,5063,0,0,cellular,27,oct,418,2,-1,0,unknown,1
2431,42,unemployed,married,secondary,0,1289,0,0,cellular,15,jul,250,4,415,2,failure,1
2433,73,retired,married,primary,0,796,0,0,cellular,23,oct,427,1,182,2,failure,1
2436,51,technician,married,secondary,0,117,0,0,cellular,24,aug,467,2,88,4,other,1
2444,35,management,married,secondary,0,724,1,0,cellular,14,jul,287,2,415,1,failure,1
2449,36,management,married,tertiary,0,925,0,0,cellular,14,dec,321,3,189,4,success,1
2464,23,technician,single,tertiary,0,1129,1,0,unknown,28,may,806,1,-1,0,unknown,1
2471,22,student,single,secondary,0,2488,0,0,cellular,8,nov,449,2,38,10,other,1
2477,53,unknown,married,primary,0,732,0,0,cellular,27,oct,759,2,-1,0,unknown,1
2480,35,admin.,divorced,secondary,0,3636,0,1,cellular,21,nov,808,2,-1,0,unknown,1
2486,50,unknown,married,unknown,0,558,0,0,cellular,9,jul,464,1,683,6,failure,1
2499,37,management,married,tertiary,0,5355,0,0,telephone,17,feb,466,4,-1,0,unknown,1
2512,53,housemaid,married,primary,0,104,0,1,unknown,5,jun,701,1,-1,0,unknown,1
2539,44,technician,divorced,secondary,0,14,0,0,cellular,13,nov,167,1,92,1,success,1
2540,31,management,married,tertiary,0,4148,1,0,cellular,21,nov,316,3,99,9,other,1
2553,33,management,married,tertiary,0,1064,1,0,cellular,13,may,562,1,-1,0,unknown,1
2556,34,admin.,divorced,secondary,0,479,1,0,cellular,12,may,515,1,350,5,failure,1
2568,61,retired,married,secondary,0,2917,0,0,cellular,6,oct,215,1,-1,0,unknown,1
2583,52,technician,married,tertiary,0,2557,0,0,cellular,28,jan,134,5,204,2,success,1
2619,49,services,married,secondary,0,823,0,0,cellular,8,aug,780,4,-1,0,unknown,1
2633,50,management,single,tertiary,0,1200,0,0,cellular,14,aug,904,3,-1,0,unknown,1
2644,36,management,married,tertiary,0,9,0,0,cellular,11,aug,386,4,-1,0,unknown,1
2653,45,blue-collar,single,secondary,0,0,1,0,cellular,26,apr,1472,1,192,4,failure,1
2654,36,management,married,tertiary,0,1133,1,0,cellular,4,aug,293,1,181,2,other,1
2655,42,technician,married,secondary,0,4945,1,0,cellular,2,mar,311,2,-1,0,unknown,1
2665,27,student,single,tertiary,0,3733,1,0,cellular,22,may,198,1,98,6,success,1
2674,31,management,married,tertiary,0,325,1,0,cellular,18,jul,1139,2,-1,0,unknown,1
2675,29,management,single,tertiary,0,437,0,0,cellular,5,aug,504,1,92,1,success,1
2685,45,admin.,divorced,secondary,0,0,0,0,cellular,29,oct,264,1,-1,0,unknown,1
2696,55,management,divorced,tertiary,0,9756,1,0,cellular,5,jun,103,2,95,1,other,1
2697,25,management,single,tertiary,0,2506,0,0,cellular,17,feb,485,1,-1,0,unknown,1
2705,41,blue-collar,single,secondary,0,75,1,0,unknown,1,jul,479,9,-1,0,unknown,1
2717,29,technician,single,tertiary,0,2325,0,0,cellular,2,feb,125,1,-1,0,unknown,1
2719,32,technician,single,secondary,0,230,1,0,cellular,18,may,442,1,266,8,failure,1
2722,53,blue-collar,married,secondary,0,25,0,0,cellular,22,aug,528,2,-1,0,unknown,1
2746,47,technician,married,secondary,0,1219,0,0,cellular,18,aug,697,4,-1,0,unknown,1
2748,40,blue-collar,married,secondary,0,-839,1,1,cellular,16,jul,1018,2,-1,0,unknown,1
2760,61,management,married,secondary,0,985,0,0,cellular,18,aug,998,6,-1,0,unknown,1
2773,35,management,divorced,tertiary,0,0,1,0,telephone,29,oct,171,1,-1,0,unknown,1
2780,19,student,single,secondary,0,302,0,0,cellular,16,jul,205,1,-1,0,unknown,1
2821,46,technician,divorced,secondary,0,-90,0,1,telephone,17,oct,270,1,-1,0,unknown,1
2822,38,entrepreneur,married,tertiary,0,170,1,0,cellular,18,may,442,1,-1,0,unknown,1
2823,37,technician,single,secondary,0,3665,0,0,cellular,12,aug,664,3,-1,0,unknown,1
2826,39,management,married,tertiary,0,763,1,0,cellular,11,may,877,7,300,2,other,1
2827,49,services,married,secondary,0,320,0,0,telephone,9,feb,1971,4,-1,0,unknown,1
2837,43,blue-collar,married,secondary,0,699,1,1,cellular,20,nov,1258,2,122,2,other,1
2845,44,management,married,tertiary,0,1058,0,0,cellular,11,mar,188,3,-1,0,unknown,1
2847,38,technician,married,secondary,0,6728,0,0,cellular,25,nov,232,1,96,4,success,1
2851,32,technician,single,tertiary,0,1625,0,0,cellular,22,may,796,1,109,1,failure,1
2865,51,housemaid,divorced,secondary,0,9228,0,0,cellular,18,jul,655,4,-1,0,unknown,1
2871,32,management,married,tertiary,0,2431,1,0,cellular,14,may,646,5,-1,0,unknown,1
2887,35,technician,single,tertiary,0,470,1,0,cellular,25,jul,743,13,-1,0,unknown,1
2891,32,management,single,tertiary,0,0,0,0,cellular,5,feb,550,4,-1,0,unknown,1
2911,34,housemaid,married,secondary,0,0,1,0,unknown,30,oct,154,1,-1,0,unknown,1
2915,56,retired,divorced,primary,0,694,0,0,cellular,29,jan,144,1,102,1,other,1
2917,41,technician,single,tertiary,0,1646,1,0,cellular,4,feb,261,1,184,6,success,1
2924,49,blue-collar,married,secondary,0,2039,1,0,cellular,6,may,451,1,169,2,failure,1
2940,61,technician,married,secondary,0,1191,0,0,cellular,21,may,214,4,-1,0,unknown,1
2944,45,management,married,tertiary,0,242,0,0,cellular,30,apr,587,1,-1,0,unknown,1
2948,36,management,single,secondary,0,1511,1,0,cellular,16,nov,270,1,-1,0,unknown,1
2953,22,student,single,tertiary,0,691,0,0,cellular,19,aug,338,1,-1,0,unknown,1
2962,71,retired,married,tertiary,0,14220,1,0,cellular,9,sep,397,1,-1,0,unknown,1
2963,31,management,single,tertiary,0,12569,0,0,cellular,9,sep,344,1,295,1,failure,1
2972,56,admin.,married,secondary,0,45,0,0,unknown,5,may,1467,1,-1,0,unknown,1
2973,46,admin.,married,secondary,0,556,1,1,unknown,15,may,646,3,-1,0,unknown,1
2980,55,retired,divorced,secondary,0,1580,0,1,unknown,19,jun,1007,1,-1,0,unknown,1
2985,34,technician,single,secondary,0,16,0,0,cellular,13,aug,990,1,-1,0,unknown,1
2988,38,entrepreneur,single,secondary,0,2543,0,0,cellular,10,aug,223,1,414,4,failure,1
3005,60,admin.,married,secondary,0,3735,0,0,cellular,22,dec,190,1,188,9,success,1
3006,51,self-employed,married,unknown,0,2094,0,0,cellular,8,jun,458,6,-1,0,unknown,1
3013,49,technician,married,tertiary,0,523,1,0,cellular,3,mar,152,2,-1,0,unknown,1
3027,40,management,married,tertiary,0,0,0,0,cellular,10,nov,147,1,96,8,success,1
3029,39,blue-collar,married,primary,0,2303,1,0,unknown,17,jun,775,3,-1,0,unknown,1
3033,50,technician,divorced,secondary,0,-54,1,1,cellular,13,may,698,2,292,1,failure,1
3036,73,retired,married,primary,0,279,0,0,cellular,28,jan,399,3,-1,0,unknown,1
3040,34,admin.,married,secondary,0,2374,1,0,cellular,9,nov,161,1,209,2,failure,1
3064,43,management,single,tertiary,0,1696,1,0,cellular,26,aug,257,1,474,3,failure,1
3073,67,retired,married,tertiary,0,701,0,0,cellular,6,aug,254,2,-1,0,unknown,1
3080,33,services,married,secondary,0,478,0,0,cellular,30,apr,475,2,-1,0,unknown,1
3088,31,technician,single,secondary,0,2544,0,0,cellular,15,jul,252,1,184,3,success,1
3117,30,blue-collar,single,secondary,0,2145,1,0,cellular,18,may,727,2,-1,0,unknown,1
3123,47,services,married,secondary,0,405,0,1,cellular,8,aug,994,2,-1,0,unknown,1
3135,48,management,married,tertiary,0,1808,1,0,cellular,26,feb,245,1,-1,0,unknown,1
3141,32,admin.,single,secondary,0,678,1,0,cellular,4,feb,1579,1,246,4,failure,1
3160,27,management,married,tertiary,0,802,0,0,cellular,22,sep,569,1,-1,0,unknown,1
3161,24,technician,married,secondary,0,556,1,0,cellular,18,aug,460,2,-1,0,unknown,1
3176,28,admin.,single,secondary,0,4745,0,0,telephone,12,may,360,1,181,5,success,1
3184,34,management,single,tertiary,0,5086,0,0,cellular,25,may,213,4,-1,0,unknown,1
3187,63,retired,married,secondary,0,474,0,0,cellular,25,jan,423,1,-1,0,unknown,1
3202,79,retired,married,primary,0,8556,0,0,telephone,18,jan,326,2,272,2,success,1
3219,72,retired,married,primary,0,763,0,0,cellular,24,apr,384,2,-1,0,unknown,1
3224,55,management,married,tertiary,0,-375,0,0,cellular,30,jul,814,2,-1,0,unknown,1
3229,41,management,married,primary,0,5310,1,0,cellular,17,nov,984,1,-1,0,unknown,1
3239,52,blue-collar,married,secondary,0,2087,1,0,cellular,31,aug,267,1,474,1,failure,1
3248,59,retired,divorced,secondary,0,1026,0,0,unknown,5,nov,669,1,-1,0,unknown,1
3250,54,technician,married,tertiary,0,876,0,0,cellular,27,oct,269,3,541,3,success,1
3256,36,management,married,tertiary,0,495,0,0,cellular,12,mar,213,3,182,6,success,1
3271,36,blue-collar,married,secondary,0,4438,1,0,unknown,20,may,446,1,-1,0,unknown,1
3297,28,self-employed,single,tertiary,0,442,0,0,cellular,19,jun,474,3,95,3,other,1
3301,60,services,married,tertiary,0,4256,1,0,cellular,16,aug,239,3,761,1,other,1
3304,64,retired,married,tertiary,0,846,0,0,cellular,11,feb,671,1,181,3,failure,1
3305,40,blue-collar,single,secondary,0,3,0,0,cellular,19,nov,998,1,-1,0,unknown,1
3311,87,retired,married,primary,0,230,0,0,cellular,30,oct,144,1,-1,0,unknown,1
3315,33,admin.,married,tertiary,0,79,1,0,cellular,22,oct,249,2,335,2,failure,1
3317,25,management,single,tertiary,0,808,0,0,cellular,18,sep,267,2,114,2,failure,1
3321,35,blue-collar,divorced,primary,0,1792,1,0,cellular,31,jul,630,6,-1,0,unknown,1
3331,53,management,married,unknown,0,2240,1,0,cellular,2,jun,282,2,385,1,success,1
3333,33,admin.,married,secondary,0,0,1,0,telephone,17,jul,1448,7,-1,0,unknown,1
3341,53,admin.,married,secondary,0,459,0,0,cellular,5,apr,558,1,-1,0,unknown,1
3360,79,retired,married,primary,0,429,0,0,telephone,8,jul,1006,2,-1,0,unknown,1
3367,27,admin.,married,secondary,0,897,0,0,cellular,5,jun,397,1,-1,0,unknown,1
3385,38,unknown,single,tertiary,0,0,0,0,cellular,11,sep,260,3,95,3,success,1
3394,46,services,married,secondary,0,4,0,0,cellular,30,apr,268,1,261,5,other,1
3413,33,self-employed,single,tertiary,0,61,0,0,cellular,19,aug,836,3,-1,0,unknown,1
3422,39,self-employed,married,tertiary,0,1047,0,0,unknown,6,jun,554,1,-1,0,unknown,1
3424,55,technician,married,secondary,1,-308,0,0,cellular,2,feb,781,1,-1,0,unknown,1
3431,28,student,single,secondary,0,153,0,0,cellular,23,jul,1124,2,-1,0,unknown,1
3458,71,retired,married,secondary,0,2850,0,0,cellular,17,feb,185,1,-1,0,unknown,1
3491,47,management,married,tertiary,0,2306,0,0,telephone,6,aug,239,4,-1,0,unknown,1
3498,58,services,divorced,secondary,0,462,0,0,cellular,13,nov,495,1,93,1,success,1
3502,32,management,divorced,tertiary,0,883,1,0,cellular,10,dec,798,1,185,5,other,1
3510,43,technician,married,secondary,0,136,0,0,cellular,25,aug,363,7,-1,0,unknown,1
3527,33,services,divorced,secondary,0,2411,1,0,cellular,23,oct,130,1,161,1,failure,1
3538,30,unemployed,single,tertiary,0,302,0,0,cellular,11,feb,528,3,-1,0,unknown,1
3540,58,retired,married,primary,0,565,0,0,telephone,7,jul,876,1,-1,0,unknown,1
3553,68,retired,married,secondary,0,19317,1,0,cellular,4,aug,249,1,-1,0,unknown,1
3556,49,technician,married,tertiary,0,3726,0,0,cellular,5,aug,875,2,-1,0,unknown,1
3558,61,self-employed,divorced,tertiary,0,6610,0,0,cellular,24,feb,481,2,-1,0,unknown,1
3586,43,blue-collar,married,secondary,0,2160,0,0,cellular,8,sep,261,1,98,1,success,1
3589,38,management,married,unknown,0,3576,0,0,cellular,25,nov,349,2,183,1,success,1
3642,52,management,single,tertiary,0,83,0,0,cellular,26,aug,1223,6,-1,0,unknown,1
3652,29,admin.,single,secondary,0,1070,1,0,unknown,19,may,30,1,357,1,other,1
3653,29,services,divorced,secondary,0,84,1,0,cellular,13,apr,1101,2,-1,0,unknown,1
3658,26,services,single,secondary,0,1347,0,0,telephone,18,jun,280,6,92,5,other,1
3666,32,services,married,secondary,0,38,1,0,cellular,15,may,744,1,-1,0,unknown,1
3673,36,entrepreneur,married,tertiary,0,3057,0,0,unknown,16,jun,2769,4,-1,0,unknown,1
3681,30,blue-collar,single,secondary,1,239,1,0,unknown,21,may,412,1,-1,0,unknown,1
3684,30,admin.,single,tertiary,0,305,0,0,cellular,30,apr,633,1,85,2,success,1
3690,80,housemaid,married,primary,0,0,0,0,cellular,23,feb,639,1,189,1,failure,1
3695,31,management,married,tertiary,0,1331,0,0,cellular,30,apr,297,1,86,3,success,1
3723,32,services,single,secondary,0,152,1,0,cellular,25,may,158,2,-1,0,unknown,1
3730,43,technician,married,secondary,0,3285,1,0,unknown,13,may,1721,2,-1,0,unknown,1
3733,34,technician,divorced,tertiary,0,674,1,0,cellular,7,aug,587,2,-1,0,unknown,1
3734,27,services,married,secondary,0,0,1,0,cellular,22,jul,1608,13,-1,0,unknown,1
3740,36,blue-collar,divorced,primary,0,-308,1,0,cellular,12,may,725,1,-1,0,unknown,1
3743,42,admin.,single,secondary,0,-247,1,1,telephone,21,oct,519,1,166,1,other,1
3754,36,management,single,tertiary,0,2944,0,0,cellular,18,aug,882,8,-1,0,unknown,1
3765,55,technician,divorced,secondary,0,3450,0,0,cellular,10,feb,169,1,183,1,failure,1
3771,61,management,married,tertiary,0,997,0,0,cellular,10,mar,106,1,-1,0,unknown,1
3778,35,management,married,tertiary,0,8,0,0,cellular,23,apr,93,3,-1,0,unknown,1
3780,26,management,single,tertiary,0,170,0,0,cellular,15,jun,129,1,-1,0,unknown,1
3786,74,retired,married,secondary,0,921,0,0,telephone,17,apr,394,2,-1,0,unknown,1
3789,47,management,married,tertiary,0,0,0,0,cellular,27,oct,508,1,-1,0,unknown,1
3796,66,retired,married,primary,0,206,0,0,cellular,9,feb,479,1,-1,0,unknown,1
3817,33,admin.,married,secondary,0,95,1,0,cellular,30,apr,335,1,-1,0,unknown,1
3818,53,services,divorced,secondary,0,765,1,0,cellular,14,may,959,3,174,7,other,1
3819,46,technician,divorced,secondary,0,-824,1,0,cellular,7,aug,429,3,-1,0,unknown,1
3835,29,housemaid,single,tertiary,0,19,0,0,cellular,5,feb,110,2,64,2,success,1
3843,50,unknown,married,primary,0,341,1,1,cellular,20,apr,670,4,340,2,success,1
3844,39,admin.,married,secondary,0,607,1,0,cellular,12,may,454,2,364,3,failure,1
3853,54,technician,married,secondary,0,-315,0,1,cellular,10,jul,2029,1,-1,0,unknown,1
3874,26,student,single,tertiary,0,294,0,0,cellular,5,mar,87,1,91,2,success,1
3881,44,technician,single,secondary,0,1679,0,0,telephone,20,oct,718,1,-1,0,unknown,1
3889,47,management,single,tertiary,0,4402,0,0,telephone,10,dec,805,1,190,1,other,1
3890,31,services,divorced,primary,0,459,1,0,cellular,7,may,623,1,293,1,success,1
3896,36,blue-collar,married,primary,0,1177,0,0,cellular,15,apr,330,1,311,4,success,1
3909,42,management,married,tertiary,0,2187,1,0,cellular,17,nov,525,3,-1,0,unknown,1
3914,30,technician,married,tertiary,0,569,0,0,cellular,27,aug,976,12,-1,0,unknown,1
3917,36,technician,single,secondary,1,12,0,0,cellular,12,aug,587,2,-1,0,unknown,1
3930,51,retired,divorced,secondary,0,1679,0,0,cellular,12,aug,417,1,365,9,other,1
3931,47,admin.,married,secondary,0,3676,0,0,cellular,18,oct,567,1,95,3,success,1
3932,25,management,married,tertiary,0,-242,1,1,cellular,18,may,600,4,332,4,other,1
3936,34,management,married,tertiary,0,3050,1,0,cellular,13,may,469,1,-1,0,unknown,1
3942,49,management,married,primary,0,3371,0,0,cellular,11,nov,269,2,-1,0,unknown,1
3956,44,self-employed,single,tertiary,0,2734,1,0,cellular,12,may,897,4,-1,0,unknown,1
3961,34,admin.,single,tertiary,0,18,1,1,cellular,30,apr,359,1,-1,0,unknown,1
3978,66,retired,married,tertiary,0,1948,0,0,cellular,28,jan,216,1,91,4,success,1
3995,37,blue-collar,divorced,secondary,0,0,1,0,cellular,21,apr,146,4,-1,0,unknown,1
4009,38,housemaid,divorced,secondary,0,70,0,0,cellular,27,oct,255,3,148,1,success,1
4021,46,blue-collar,married,unknown,0,9328,1,0,cellular,5,may,725,3,-1,0,unknown,1
4028,52,admin.,single,unknown,0,2227,0,0,cellular,24,feb,242,2,-1,0,unknown,1
4040,53,entrepreneur,married,primary,0,27,1,0,telephone,10,sep,230,3,-1,0,unknown,1
4061,28,blue-collar,married,secondary,0,2788,1,0,unknown,6,jun,369,2,-1,0,unknown,1
4089,32,blue-collar,married,secondary,1,-53,1,0,cellular,16,apr,648,1,272,1,other,1
4090,30,management,married,tertiary,0,944,0,0,cellular,29,oct,251,2,-1,0,unknown,1
4093,69,retired,single,tertiary,0,2144,0,0,cellular,29,jul,417,1,184,4,success,1
4108,84,retired,divorced,primary,0,639,0,0,telephone,18,may,353,3,-1,0,unknown,1
4117,25,student,single,secondary,0,8,0,0,cellular,22,apr,107,2,-1,0,unknown,1
4123,47,blue-collar,divorced,primary,0,126,1,0,unknown,3,jun,2456,2,-1,0,unknown,1
4124,50,self-employed,divorced,tertiary,0,13,1,0,cellular,20,apr,76,1,-1,0,unknown,1
4125,30,technician,married,secondary,0,-393,1,1,cellular,16,jul,435,1,-1,0,unknown,1
4148,55,entrepreneur,divorced,secondary,0,538,1,0,cellular,7,aug,353,2,-1,0,unknown,1
4159,53,unemployed,married,secondary,0,94,0,0,cellular,10,aug,493,1,181,14,success,1
4160,57,retired,married,secondary,0,1044,0,0,telephone,11,jan,585,1,192,2,success,1
4176,32,blue-collar,married,primary,0,415,1,0,unknown,2,jun,777,4,-1,0,unknown,1
4194,32,services,single,secondary,0,133,0,0,cellular,15,apr,171,1,-1,0,unknown,1
4196,48,blue-collar,married,secondary,0,480,1,0,cellular,15,may,830,1,352,2,failure,1
4198,34,management,married,tertiary,0,606,0,0,cellular,20,apr,97,1,-1,0,unknown,1
4211,27,blue-collar,single,secondary,0,3792,0,0,cellular,22,apr,279,2,-1,0,unknown,1
4213,30,technician,single,secondary,0,-522,1,1,cellular,5,may,670,2,286,6,failure,1
4215,37,unemployed,married,secondary,0,1978,0,0,cellular,9,sep,404,1,182,1,success,1
4217,38,unemployed,married,tertiary,0,2812,1,0,cellular,30,apr,830,1,-1,0,unknown,1
4220,33,blue-collar,single,secondary,0,-416,1,0,unknown,16,may,767,2,-1,0,unknown,1
4224,69,retired,married,unknown,0,426,0,0,telephone,9,mar,225,1,90,1,success,1
4225,65,unknown,married,unknown,0,4717,0,0,telephone,6,aug,256,1,-1,0,unknown,1
4229,62,self-employed,divorced,tertiary,0,6,1,0,cellular,13,oct,216,1,183,4,success,1
4231,39,services,divorced,secondary,0,687,1,0,cellular,9,jul,869,1,-1,0,unknown,1
4232,38,technician,single,secondary,0,-242,1,0,cellular,18,may,1173,3,278,6,success,1
4236,31,blue-collar,married,secondary,0,92,1,0,unknown,16,may,688,1,-1,0,unknown,1
4237,33,technician,single,secondary,0,2085,0,0,cellular,9,feb,501,2,-1,0,unknown,1
4238,36,technician,single,tertiary,0,197,0,0,cellular,30,apr,260,1,-1,0,unknown,1
4250,32,management,single,tertiary,0,2,1,0,cellular,11,sep,100,2,-1,0,unknown,1
4256,34,housemaid,married,primary,0,2929,0,0,cellular,14,aug,518,2,-1,0,unknown,1
4262,59,technician,married,secondary,0,2308,0,0,cellular,30,apr,815,1,87,1,other,1
4263,25,student,married,tertiary,0,10,1,0,cellular,21,jul,857,4,-1,0,unknown,1
4275,53,management,married,tertiary,0,15,0,0,cellular,20,aug,921,2,-1,0,unknown,1
4281,52,management,married,secondary,0,335,0,0,cellular,21,oct,411,1,182,1,failure,1
4282,34,admin.,divorced,secondary,0,-251,0,0,cellular,18,jul,641,1,-1,0,unknown,1
4300,59,retired,married,primary,0,0,0,0,cellular,5,jun,493,2,-1,0,unknown,1
4328,49,admin.,married,secondary,0,3608,1,0,unknown,13,nov,231,1,-1,0,unknown,1
4337,73,retired,married,unknown,0,519,0,0,telephone,16,oct,434,1,57,1,failure,1
4342,50,blue-collar,married,unknown,0,2284,1,0,telephone,31,jul,1088,17,-1,0,unknown,1
4350,29,blue-collar,single,secondary,0,-20,0,1,cellular,21,jul,574,1,-1,0,unknown,1
4364,63,retired,divorced,secondary,0,1490,0,0,cellular,8,jun,506,1,-1,0,unknown,1
4366,59,retired,married,secondary,0,0,0,0,unknown,5,jun,812,1,-1,0,unknown,1
4388,83,retired,divorced,primary,0,1097,0,0,telephone,5,mar,181,1,-1,0,unknown,1
4392,50,unemployed,married,secondary,0,3357,0,0,cellular,9,jun,239,4,-1,0,unknown,1
4402,41,entrepreneur,married,primary,0,39,1,0,cellular,21,nov,549,2,-1,0,unknown,1
4407,45,admin.,divorced,secondary,0,59,1,0,cellular,24,jul,873,8,-1,0,unknown,1
4416,32,blue-collar,single,secondary,0,811,1,0,cellular,14,may,563,1,-1,0,unknown,1
4423,45,management,single,tertiary,0,2048,1,0,cellular,18,oct,310,1,804,1,failure,1
4433,40,management,married,tertiary,0,-17,1,1,cellular,11,may,474,1,256,1,success,1
4447,49,blue-collar,single,primary,0,2146,1,0,cellular,7,may,1516,2,353,2,other,1
4458,29,management,single,tertiary,0,572,0,0,cellular,16,dec,314,1,195,1,success,1
4465,38,management,single,tertiary,0,623,0,0,cellular,28,jun,297,4,144,4,other,1
4484,38,management,married,tertiary,0,3436,0,0,cellular,21,nov,663,4,-1,0,unknown,1
4494,26,technician,single,secondary,0,668,1,0,unknown,28,may,576,3,-1,0,unknown,1
4503,60,self-employed,married,primary,0,362,0,1,cellular,29,jul,816,6,-1,0,unknown,1
